Load Record,Item Number
9252211,137383
9252381,50372
9272890,676
9242822,5638
9242552,963
9272969,173
9251298,57601
9252543,207687
9252543,145784
9251167,49
9252205,119653
9254412,52774
9252064,52880
9242822,2115
9252543,202692
9242039,69450
9252752,50311
9252537,50306
9252201,179234
9252211,131792
9252423,62079
9252543,206874
9242602,1825
9242286,826
9272890,677
9242580,1379
9252211,131187
9252202,141049
9252041,1846
9242457,4431
9242569,113
9272914,11
9242822,279
9242822,824
9272890,80
9252543,208269
9252543,206876
9242621,199
9254412,52713
9254412,52750
9254412,52779
9252205,119524
9252078,58147
9262201,50316
9272915,21
9262201,50745
9252543,205355
9252543,206955
9252543,206954
9252450,56885
9262201,50315
9272915,165
9272915,196
9272915,182
9272915,195
9242822,1011
9242553,463
9252202,142035
9242397,1
9251248,36
9252377,52650
9252202,135164
9252202,142842
9252201,174475
9252531,54934
9252531,54929
9252531,54935
9252531,54933
9252531,54930
9252201,174477
9252201,174476
9252202,137422
9252202,135939
9252435,67450
9252543,207877
9272915,177
9252205,125111
9252205,125209
9252201,178619
9252201,178618
9252202,143373
9252435,69059
9252435,69061
9242553,690
9252202,144008
9252202,144014
9262201,52490
9252201,179081
9252543,208339
9252201,179186
9252435,69068
9262201,52491
9262205,52453
9252475,45195
9252475,45191
9252543,145807
9252475,45190
9252201,119515
9252450,6287
9252026,17757
9252580,477
9252543,146391
9252201,119925
9252543,146137
9252543,146392
9252202,75693
9252543,146477
9252543,146393
9252543,145859
9252475,45189
9252201,119799
9252531,54932
9252543,204129
9262204,1008
9252201,174478
9252531,54931
9252201,174251
9252201,174250
9252205,119830
9252205,119831
9252205,119829
9252202,133507
9252543,204299
9252543,204102
9252475,97074
9272915,25
9252202,135441
9252201,174636
9252475,97067
9252201,174650
9252475,97085
9252543,204128
9252450,56669
9252543,204130
9252543,204110
9252475,97065
9251136,637
9251136,638
9251136,857
9252202,143969
9251136,636
9252202,134399
9252202,134389
9252202,134391
9252202,134383
9252202,135858
9242822,294
9272915,254
9242580,1461
9242580,1460
9242819,210
9242580,1462
9242580,1463
9262475,51260
9252202,137358
9252543,200369
9262201,51518
9262205,50735
9272942,153
9262201,51145
9262201,51146
9272969,188
9242822,1363
9242626,108
9252201,51870
9242580,1432
9252026,13286
9252202,52180
9252202,71859
9252543,141878
9252202,132424
9254412,52777
9252543,200335
9252543,200336
9254412,52791
9252202,132950
9252450,56577
9252201,173954
9252543,206953
9242822,1323
9262205,50224
9262201,50849
9272915,93
9272928,109
9262205,50290
9252547,1166
9242822,1586
9242868,15
9262201,51662
9262201,51669
9262201,51542
9242580,1431
9242822,1983
9242626,169
9262205,52668
9252543,97176
9261128,146
9261128,4
9261128,145
9261128,83
9252211,131202
9252211,131220
9252211,131237
9262450,51174
9252201,118606
9252201,175311
9262450,50635
9262205,50226
9252026,68233
9252205,121214
9242580,405
9262205,50610
9272890,56
9242580,242
9262205,50611
9242532,62008
9242580,503
9253100,71816
9242841,62
9242553,474
9251280,174
9251248,23
9252543,206944
9262450,80
9252202,138062
9252249,50029
9252516,50218
9272913,24
9272915,192
9242580,973
9244412,2765
9232442,996
9252202,139422
9242822,1598
9242822,601
9252547,1194
9262475,209
9252543,201625
9252543,206916
9252201,173598
9252573,50268
9252064,52868
9252543,201123
9252201,173599
9252450,56576
9252450,56645
9252450,56647
9262201,50137
9252543,206956
9252547,934
9262450,50633
9252435,68694
9262450,50589
9262450,50588
9252201,175216
9262205,50791
9242822,1212
9252248,72190
9242822,1232
9252248,72942
9272915,233
9262201,51742
9252202,142918
9252202,142461
9252543,207733
9242822,1010
9262201,52080
9262201,52099
9262201,52072
9262201,52762
9262201,51741
9272954,143
9252202,52879
9252543,98938
9252543,98893
9252435,13509
9254412,52727
9254412,52733
9254412,52728
9252202,132602
9252202,132601
9252205,119219
9252205,119220
9252534,50142
9252202,132592
9254412,52747
9252049,51309
9254412,52768
9252201,173153
9252201,173150
9254412,52769
9252201,173151
9252201,173152
9252543,202327
9252202,133348
9252202,132599
9252052,52577
9242822,2189
9262205,50699
9242580,1470
9262450,51139
9242834,45
9242041,2741
9252543,206917
9252547,1236
9252543,146151
9252039,15267
9252450,56579
9252201,122001
9252201,174473
9252201,174284
9252543,204131
9252543,204132
9252543,204103
9252543,204104
9252543,203991
9252201,174474
9252202,134878
9252201,174481
9252201,174483
9272915,194
9272961,7
9262201,52717
9242617,60
9242581,574
9252205,125227
9252026,68580
9272960,85
9242861,12
9272890,660
9242580,1289
9262450,51393
9272890,659
9252201,175618
9252202,139618
9252201,175326
9262201,50983
9252248,72312
9272825,696
9252078,58293
9252531,54952
9262450,50671
9252552,50100
9252202,141011
9252752,50298
9252205,121927
9252745,175
9252201,176671
9242822,1391
9262450,50724
9262205,50797
9262450,50695
9262450,51097
9252466,50107
9262201,52381
9263102,59287
9252545,61042
9272982,169
9272918,681
9242822,2321
9242822,1360
9242580,1377
9272942,409
9242580,1380
9252043,2423
9252202,72059
9251323,159
9251323,157
9252202,132511
9252685,50024
9254412,52784
9252543,200334
9252543,202706
9252033,66670
9252202,137379
9252202,136414
9252533,53711
9242774,347
9242580,406
9242552,572
9252211,131175
9272972,51
9252543,206823
9252543,206825
9252507,1803
9252202,132779
9243100,80712
9262450,51161
9243100,80714
9243100,80713
9243100,80715
9252201,175193
9252248,72922
9252543,208375
9243100,80717
9252543,120259
9242822,877
9252205,36775
9252450,56573
9252450,56696
9252205,120228
9272915,89
9252201,175312
9252547,617
9252202,135848
9262205,50227
9242822,704
9252543,204357
9262201,51698
9262201,51101
9272915,156
9242822,896
9262201,52051
9272942,157
9262450,51324
9272928,38
9252202,138716
9262201,52000
9242553,461
9272915,17
9272915,88
9272915,162
9242822,892
9242580,970
9272942,413
9252543,141389
9252205,119330
9272915,26
9252543,204150
9252205,120314
9242822,835
9242822,561
9272825,1970
9242822,1393
9252296,53217
9262201,51664
9272915,163
9272915,243
9272915,174
9262450,50858
9242580,1126
9252543,208054
9242822,1975
9272942,410
9242580,1433
9242580,1389
9252543,206962
9242553,490
9252201,179239
9242534,51490
9252202,135552
9251208,8744
9252202,140351
9262205,51930
9252543,206963
9252543,206972
9252078,58437
9262205,52660
9252205,40768
9262201,52547
9252543,146798
9252202,57353
9252450,5608
9254412,52695
9254412,52725
9254412,52694
9252201,173149
9254412,52760
9254412,52757
9252205,119632
9252030,50818
9252056,51176
9252450,56679
9252450,56578
9252543,206959
9242822,1211
9242882,21
9262201,51737
9262475,52814
9242822,1981
9273019,21
9254412,1807
9242866,155
9272913,19
9242580,1471
9272942,333
9272890,276
9252201,175624
9262201,51391
9262205,50086
9252026,68220
9252052,52589
9242580,616
9262205,50782
9272825,1690
9242822,875
9262205,50293
9252202,139710
9272942,113
9242822,897
9272890,125
9262450,50703
9262450,50748
9262205,50675
9242822,1213
9242822,898
9242822,894
9262450,50718
9262205,51365
9242822,1214
9262205,51368
9242822,1597
9272915,241
9262201,51392
9272915,188
9272915,179
9272915,189
9252248,73130
9272915,175
9252202,142827
9272915,176
9242822,876
9252547,1093
9252205,123833
9242794,130
9252547,1094
9242580,1329
9272942,465
9242553,540
9252543,146395
9243100,89457
9243100,89460
9243100,89458
9243100,89459
9254412,52731
9254412,52737
9254412,52735
9254412,52749
9254412,52748
9254412,52754
9252202,133339
9252205,119633
9252202,133314
9252582,50048
9252205,119963
9252061,51181
9252201,174287
9252543,203218
9252201,174282
9252205,119746
9272915,20
9252450,56704
9242602,1821
9261128,116
9252202,143422
9252202,135171
9242971,14
9252202,142884
9272913,35
9263102,61606
9252026,68642
9252543,205670
9272915,102
9252202,142117
9252201,176566
9252543,208055
9252543,208056
9252543,206961
9272890,673
9252249,50030
9272913,28
9272913,26
9272913,25
9272913,27
9252254,50041
9252435,67821
9242558,633
9262201,52569
9252202,135542
9272890,713
9252205,119652
9242552,870
9272825,2285
9273002,111
9272961,8
9262205,50340
9262201,52578
9242580,1390
9262205,51363
9252205,125160
9252033,67477
9272890,707
9242822,1207
9252202,60472
9252202,55828
9252543,121992
9252531,1989
9254412,52762
9252201,173386
